version,split,features,balance,sem_prev,best_model,mae,rmse,corr
1,11_19,ALL,No,Yes,Eta,3.2648,3.6116,0.6466
2,11_19,ALL,No,No,Eta,3.2648,3.6116,0.6466
9,11_19,AD HOC,No,Yes,Eta,3.2648,3.6116,0.6466
10,11_19,AD HOC,No,No,Eta,3.2648,3.6116,0.6466
17,11_19,POSIT_CORR,No,Yes,Eta,3.2648,3.6116,0.6466
18,11_19,POSIT_CORR,No,No,Eta,3.2648,3.6116,0.6466
25,11_19,POSIT_CORR+SEM_PREV,No,Yes,Eta,3.2648,3.6116,0.6466
26,11_19,POSIT_CORR+SEM_PREV,No,No,Eta,3.2648,3.6116,0.6466
3,11_19,ALL,Yes,Yes,Eta,3.4276,3.7709,0.5237
4,11_19,ALL,Yes,No,Eta,3.4276,3.7709,0.5237
11,11_19,AD HOC,Yes,Yes,Eta,3.4276,3.7709,0.5237
12,11_19,AD HOC,Yes,No,Eta,3.4276,3.7709,0.5237
19,11_19,POSIT_CORR,Yes,Yes,Eta,3.4276,3.7709,0.5237
20,11_19,POSIT_CORR,Yes,No,Eta,3.4276,3.7709,0.5237
27,11_19,POSIT_CORR+SEM_PREV,Yes,Yes,Eta,3.4276,3.7709,0.5237
28,11_19,POSIT_CORR+SEM_PREV,Yes,No,Eta,3.4276,3.7709,0.5237
