data_prev,Tx_Mod,P90cl_Tx_Mod,Tx_Obs,P90cl_Tx_Obs,OC_Mod_Candid,IOC_Mod,OC_Obs_Candid,IOC_Obs
20131101,28.222565,33.41830444,24.562286,29.93807983,0,0,0,0
20131102,29.217041,31.44448853,26.264679,29.56668091,0,0,0,0
20131103,32.218964,31.84182739,28.782013,31.04577637,1,0,0,0
20131104,31.142212,31.14221191,28.169525,31.09802246,1,0,0,0
20131105,25.301208,30.55636597,24.192108,29.25061035,0,0,0,0
20131106,27.728058,29.30450439,21.761505,26.00964355,0,0,0,0
20131107,31.014496,30.82644653,21.84848,27.49679565,1,0,0,0
20131108,30.404022,31.51754761,24.360962,28.68063354,0,0,0,0
20131109,28.083923,30.35250854,26.110504,29.55285645,0,0,0,0
20131110,26.44284,30.67996216,27.28186,30.86642456,0,0,0,0
20131111,30.114044,30.06637573,31.951813,31.76419067,1,0,1,0
20131112,30.177185,30.17718506,35.891388,33.84359741,0,0,1,0
20131113,22.346497,28.76901245,26.78299,30.99169922,0,0,0,0
20141101,24.201843,33.41830444,31.741516,29.93807983,0,0,1,0
20141102,24.931427,31.44448853,29.56668,29.56668091,0,0,0,0
20141103,27.659912,31.84182739,29.85736,31.04577637,0,0,0,0
20141104,27.933136,31.14221191,31.098022,31.09802246,0,0,0,1
20141105,26.684235,30.55636597,29.25061,29.25061035,0,0,0,1
20141106,25.570496,29.30450439,26.553436,26.00964355,0,0,1,1
20141107,21.667877,30.82644653,31.175201,27.49679565,0,0,1,1
20141108,23.5914,31.51754761,30.069092,28.68063354,0,0,1,1
20141109,25.122253,30.35250854,25.113739,29.55285645,0,0,0,0
20141110,25.454926,30.67996216,26.110413,30.86642456,0,0,0,0
20141111,25.32611,30.06637573,26.46817,31.76419067,0,0,0,0
20141112,25.498505,30.17718506,29.302826,33.84359741,0,0,0,0
20141113,27.324402,28.76901245,30.9917,30.99169922,0,0,1,0
20141101,33.23471,33.47324219,31.741516,29.93807983,0,0,1,0
20141102,32.700653,31.72999268,29.56668,29.56668091,1,0,0,0
20141103,28.212128,29.47561035,29.85736,31.04577637,0,0,0,0
20141104,26.30252,28.64291992,31.098022,31.09802246,0,0,0,1
20141105,24.397827,29.1122406,29.25061,29.25061035,0,0,0,1
20141106,33.464935,34.33540955,26.553436,26.00964355,0,0,1,1
20141107,24.124176,32.31129761,31.175201,27.49679565,0,0,1,1
20141108,24.021149,30.50455627,30.069092,28.68063354,0,0,1,1
20141109,22.876007,30.70879517,25.113739,29.55285645,0,0,0,0
20141110,22.493317,30.47737122,26.110413,30.86642456,0,0,0,0
20141111,22.883331,29.84162598,26.46817,31.76419067,0,0,0,0
20141112,26.921967,30.10089111,29.302826,33.84359741,0,0,0,0
20141113,23.784668,29.85751343,30.9917,30.99169922,0,0,1,0
20141114,25.186432,31.11983337,24.565613,32.62368774,0,0,0,0
20141115,24.43393,30.093927,22.27182,30.92581177,0,0,0,0
20141116,27.923615,32.85397949,24.52121,33.84396362,0,0,0,0
20141117,27.403015,31.40658569,24.773315,30.40292358,0,0,0,0
20141118,29.074066,31.21523438,25.779236,32.42886353,0,0,0,0
20141119,27.776215,31.21745605,27.976166,30.48513794,0,0,0,0
20141120,27.28592,30.502005,28.985687,30.51504517,0,0,0,0
20141121,28.586395,29.38522949,30.412079,30.41207886,0,0,1,0
